Pluga,Z,Hetz,Calanit,Halul,Hatzav,Barzel,5.56,Mag,Nafitiz60,Teura60,Meducut,Rimon Ashan,Rimon Resses,Metan Nituk,Nonel,Comments
Magad,835064,3,6,13,8,10,990,34,21,9,12,4,8,1,1,
Samgad,835019,3,2,7,15,10,990,30,15,9,6,4,8,1,1,
Venus,835196,3,8,11,8,10,990,26,21,9,12,4,8,1,1,
Venus,835026,3,6,9,4,10,990,29,21,9,12,4,8,1,1,
Venus,835189,3,9,9,5,10,990,32,21,9,10,4,8,1,1,
Venus,835188,3,6,8,10,10,990,39,21,9,12,4,8,1,1,
Venus,835182,3,4,10,17,10,990,39,21,9,0,0,0,0,0,Tank in Shimshon
Venus,835137,3,3,9,13,10,990,39,21,9,12,0,0,0,0,
Venus,835044,2,4,11,10,10,990,36,5,6,12,4,8,1,1,
Venus,835027,3,4,9,17,10,990,39,21,3,0,0,0,0,0,Tank in Shimshon
Zorba,835173,3,4,13,16,10,990,30,21,9,12,0,0,0,0,
Zorba,835175,3,3,11,13,10,990,30,20,9,10,4,8,1,1,
Zorba,835301,3,3,11,15,10,990,23,21,9,12,4,8,1,1,
Zorba,835190,3,6,9,14,10,990,34,23,9,12,3,8,1,1,
Zorba,835183,3,7,13,17,10,990,28,27,3,12,4,8,1,1,
Zorba,835037,3,8,5,8,10,990,42,21,0,12,0,0,0,0,
Zorba,835017,2,7,13,8,10,990,35,21,9,12,4,8,1,1,
Zorba,835081,3,6,5,14,10,990,30,20,0,12,0,0,0,0,
Hanit,835016,3,4,9,19,10,990,39,21,9,12,0,0,0,1,
Hanit,835023,5,1,9,10,10,990,36,27,6,12,4,8,1,1,
Hanit,835286,3,0,3,8,0,0,0,0,0,0,0,0,0,0,Ammo at Bunker
Hanit,835047,3,2,5,10,10,990,39,21,9,6,4,8,1,1,
Hanit,835041,2,7,6,20,10,990,39,15,9,12,4,8,1,1,
Hanit,835184,3,4,9,17,10,990,39,21,9,12,4,8,1,1,
Hanit,835092,1,7,7,12,0,0,25,21,9,0,0,0,0,0,Ammo at Bunker
