Type,Categorey,Pluga,Mark,Z,Location,Status,Issue,Fixing,Comments
Tank,Tank,Venus,Gimel,835196,Metor 5,Working,Location Issue,Internal,
Tank,Tank,Venus,Dalet,835026,Metor 5,Working,,Working,
Tank,Tank,Venus,1,835189,Metor 5,Working,,Working,
Tank,Tank,Venus,1B,835182,Shimshon,Not Working,,Working,Tipul B
Tank,Tank,Venus,2,835044,Metor 5,Working,,Working,
Tank,Tank,Venus,2B,835188,Metor 5,Working,Totchan Motiring not working,Internal,
Tank,Tank,Venus,3,835137,Zeelim,Not Working,Spin Issues,Dereg B,
Tank,Tank,Venus,3B,835027,Shimshon,Not Working,,Dereg B,Tipul B
Tank,Tank,Zorba,Gimel,835173,Dima,Working,,Working,
Tank,Tank,Zorba,Dalet,835175,Levia,Working,,Working,
Tank,Tank,Zorba,1,835301,Zion,Working,,Working,
Tank,Tank,Zorba,1B,835183,Levia,Working,,Working,
Tank,Tank,Zorba,2,835017,Levia,Working,,Working,
Tank,Tank,Zorba,2B,835190,Zion,Working,,Working,
Tank,Tank,Zorba,3,835037,Dima,Working,,Working,
Tank,Tank,Zorba,3B,835081,Dima,Not Working,Driver seat,HH,
Tank,Tank,Hanit,Gimel,835016,CatCat,Working,Driver monitor,HH,
Tank,Tank,Hanit,Dalet,835023,Metor 4,Working,,Working,
Tank,Tank,Hanit,1,833286,Masha,Not Working,Burned Tank,Dereg B,
Tank,Tank,Hanit,1B,835041,Metor 4,Working,,Working,
Tank,Tank,Hanit,2,835092,Shimshon,Not Working,,Dereg B,Tipul B
Tank,Tank,Hanit,2B,835047,CatCat,Working,,Working,
Tank,Tank,Hanit,3,835184,Dima,Not Working,Spin Issues,Internal,
Tank,Tank,Hanit,3B,835172,CatCat,Working,Rear Fuel Pump,Working,
Tank,Tank,Mafgad,Magad,835064,Metor 5,Working,,Working,
Tank,Tank,Mafgad,Samgad,835019,Metor 5,Working,,Working,
Nagmash,Nagmash,Palsam,10A,754508,,Working,,,
Nagmash,Nagmash,Palsam,13A,750980,,Working,,,
Nagmash,Nagmash,Palsam,15A,753785,,Working,,,
Nagmash,Nagmash,7,Keshet,770716,,Working,,,
Nagmash,Nagmash,7,Keshet,770717,,Working,,,
Nagmash,Nagmash,7,Alpha,759522,,Working,,,
Minhala,Oshkosh Soler,Palsam,,707140,,Working,,,
Minhala,Oshkosh Soler,Palsam,,707127,,Working,,,
Minhala,Rio,Palsam,,,,Working,,,
Minhala,Hamer,Palsam,,,,Working,,,
Minhala,Hamer,Palsam,,,,Working,,,
Minhala,Hamer,Palsam,,,,Working,,,
Minhala,Hamer,Palsam,,,,Working,,,
Minhala,Hamer Rkash,Palsam,,706773,,Working,,,
Minhala,FMTV,Palsam,,990773,,Working,,,
Minhala,FMTV,Palsam,,990664,,Working,,,
Minhala,Hamer,Palsam,Katakal,705647,צאלים,Working,,,
Minhala,Rio,Palsam,Agur20,680779,צאלים,Working,,,
Minhala,Rio,Palsam,Hetz,679644,צאלים,Working,,,
Minhala,Rio,Palsam,HH Cveda,,צאלים,Working,,,
Minhala,Rio,Palsam,HH Cveda,679449,צאלים,Working,,,
Minhala,Hamer Patrol,5,,705551,,Not Working,Smoking,,
Minhala,Hamer Patrol,5,,705662,,Working,,,
Minhala,Hamer Patrol,5,,705663,,Working,,,
Minhala,Hamer Patrol,5,,705703,,Working,,,
Minhala,Hamer,5,,702468,,Not Working,Engine heat,,
Minhala,Hamer,Venus,,,,Working,,,
Minhala,Hamer,Zorba,,,,Working,,,
Minhala,Hamer,Hanit,,,,Working,,,
Minhala,FordBulance,Tagad,,563134,,Working,,,
